Name	Casting Cost 1	Casting Cost 2	Card Type	Rarity	Rating
Giant_Spider	3G	none	Creature	C	2.3
Highland_Game	1G	none	Creature	C	1.9
Infernal_Scarring	1B	none	Spell	C	1.6
Lich's_Caress	3BB	none	Removal	C	3.1
Luminous_Bonds	2W	none	Removal	C	3
Marauder's_Axe	2	none	Spell	C	2.2
Oakenform	2G	none	Spell	C	2.2
Oreskos_Swiftclaw	1W	none	Creature	C	2
Pegasus_Courser	2W	none	Creature	C	2.6
Plummet	1G	none	Removal	C	1.9
Rabid_Bite	1G	none	Removal	C	2.8
Recollect	2G	none	Spell	U	2
Revitalize	1W	none	Instant	C	1.8
Rustwing_Falcon	W	none	Creature	C	1.9
Skeleton_Archer	3B	none	Creature	C	2.3
Skymarch_Bloodletter	2B	none	Creature	C	2.4
Sleep	2UU	none	Spell	U	3
Snapping_Drake	3U	none	Creature	C	2.3
Sovereign's_Bite	1B	none	Spell	C	1.6
Star-Crowned_Stag	3W	none	Creature	C	2.7
Strangling_Spores	3B	none	Removal	C	2.6
Take_Vengeance	1W	none	Removal	C	2.4
Thornhide_Wolves	4G	none	Creature	C	2.2
Titanic_Growth	1G	none	Instant	C	2.2
Tolarian_Scholar	2U	none	Creature	C	1.9
Totally_Lost	4U	none	Instant	C	2.2
Trumpet_Blast	2R	none	Instant	C	1.9
Uncomfortable_Chill	2U	none	Instant	C	2
Vampire_Sovereign	3BB	none	Creature	U	3.5
Walking_Corpse	1B	none	Creature	C	1.8
Wall_of_Mist	1U	none	Creature	C	2.1
Wall_of_Vines	G	none	Creature	C	1.7
Apex_of_Power	7RRR	none	Spell	M	1
Salvager_of_Secrets	3UU	none	Creature	C	2.5
Knight_of_the_Tusk	4WW	none	Creature	C	1.9
Lava_Axe	4R	none	Spell	C	1.9
Catalyst_Elemental	2R	none	Creature	C	1.9
Ghostform	1U	none	Spell	C	1.8
Invoke_the_Divine	2W	none	Instant	C	1.9
Root_Snare	1G	none	Instant	C	1.7
Havoc_Devils	2RR	none	Creature	C	2.2
Aviation_Pioneer	2U	none	Creature	C	2.5
Angel_of_the_Dawn	4W	none	Creature	C	2.9
Arcades,_the_Strategist	1GWU	none	Creature	M	3.4
Suspicious_Bookcase	2	none	Creature	U	2.3
Demanding_Dragon	3RR	none	Creature	R	4.1
Heroic_Reinforcements	2RW	none	Spell	U	3.2
Enigma_Drake	1UR	none	Creature	U	3
Dismissive_Pyromancer	1R	none	Creature	R	3.5
Supreme_Phantom	1U	none	Creature	R	2.2
Liliana,_Untouched_by_Death	2BB	none	Planeswalker	M	2.2
Liliana's_Contract	3BB	none	Spell	R	2.6
Thorn_Lieutenant	1G	none	Creature	R	3
Isolate	W	none	Removal	R	1.4
Mystic_Archaeologist	1U	none	Creature	R	3.5
Detection_Tower	0	none	Land	R	1
Hieromancer's_Cage	3W	none	Removal	U	3.4
Novice_Knight	W	none	Creature	U	2
Siegebreaker_Giant	3RR	none	Creature	U	2.6
Vigilant_Baloth	3GG	none	Creature	U	2.9
Rise_from_the_Grave	4B	none	Spell	U	2.5
Switcheroo	4U	none	Spell	U	2.6
Leonin_Vanguard	W	none	Creature	U	2
Leonin_Warleader	2WW	none	Creature	R	3.9
Fraying_Omnipotence	3BB	none	Spell	R	1.5
Djinn_of_Wishes	3UU	none	Creature	R	3.9
Windreader_Sphinx	5UU	none	Creature	R	3.5
Dragon's_Hoard	3	none	Spell	R	2
Suncleanser	W	none	Creature	R	2
Aethershield_Artificer	3W	none	Creature	U	2.4
Knightly_Valor	4W	none	Spell	U	2.8
Sift	3U	none	Spell	U	2.7
Gallant_Cavalry	3W	none	Creature	C	2.5
Pelakka_Wurm	4GGG	none	Creature	R	3.7
Psychic_Corrosion	2U	none	Spell	U	2.2
Ravenous_Harpy	2B	none	Creature	U	2.6
Doublecast	RR	none	Spell	U	2
Blanchwood_Armor	2G	none	Spell	U	2.3
Druid_of_Horns	3G	none	Creature	U	2.2
Rhox_Oracle	4G	none	Creature	C	2.3
Arcane_Encyclopedia	3	none	Spell	U	2.4
Rupture_Spire	0	none	Land	U	2.1
Tezzeret,_Artifice_Master	3UU	none	Planeswalker	M	4.6
Transmogrifying_Wand	3	none	Spell	R	3.1
Aegis_of_the_Heavens	1W	none	Instant	U	1.9
Make_a_Stand	2W	none	Instant	U	2.1
Aether_Tunnel	1U	none	Spell	U	2
Bone_to_Ash	2UU	none	Instant	U	2.1
Essence_Scatter	1U	none	Instant	C	2.8
Doomed_Dissenter	1B	none	Creature	C	2.2
Duress	B	none	Spell	C	1.8
Hired_Blade	2B	none	Creature	C	2
Infectious_Horror	3B	none	Creature	C	1.7
Macabre_Waltz	1B	none	Spell	C	2.2
Mind_Rot	2B	none	Spell	C	2
Vampire_Neonate	B	none	Creature	C	2.4
Boggart_Brute	2R	none	Creature	C	2.4
Crash_Through	R	none	Spell	C	1.8
Dragon_Egg	2R	none	Creature	U	2.3
Inferno_Hellion	3R	none	Creature	U	2.1
Tectonic_Rift	3R	none	Spell	U	1.9
Daggerback_Basilisk	2G	none	Creature	C	2.3
Ghirapur_Guide	2G	none	Creature	U	2.3
Gift_of_Paradise	2G	none	Spell	U	2.3
Greenwood_Sentinel	1G	none	Creature	C	1.9
Naturalize	1G	none	Instant	C	1.8
Talons_of_Wildwood	1G	none	Spell	C	2
Millstone	2	none	Spell	U	1.7
Gargoyle_Sentinel	3	none	Creature	U	2.5
Explosive_Apparatus	1	none	Spell	C	2.1
